formula,Temperature,sigma (S/cm)
CoSb3,298.0,40.0
CoSb3,298.0,11.4
CoSb3,300.0,226.0
Ag2Te ht1,438.0,3.0
AgCl,585.0,0.003
AgCl,720.0,0.064
KCl rt,308.0,6e-10
KCl rt,423.0,2.25e-09
Ag0.7TiTe2,500.0,222.2
Ag0.7TiTe2,300.0,500.0
Cu2FeAl7,298.0,100.0
TiFe2Al,293.0,14400.0
B6As,673.0,0.25
ZnSe,298.0,2.0
ZnSe,295.0,3.1e-05
ZnSe,77.0,4.6e-06
ZnSe,530.0,1.01
ZnSe,290.0,1.75
BaCl2 hp2,790.0,1e-05
BaCl2 hp2,1160.0,0.002
YbB6,292.0,38.0
YbB6,860.0,110.0
FeBiO3 ht1,1136.0,0.13
FeBiO3 rt,298.0,3.98e-06
FeBiO3 rt,1000.0,0.0186
FeBiO3 rt,298.0,6.3e-11
FeBiO3 rt,124.0,1e-15
FeBiO3 rt,423.0,0.018
FeBiO3 rt,306.0,3.3e-05
FeBiO3 rt,298.0,7.719999999999999e-09
FeBiO3 rt,623.0,0.0005
FeBiO3 rt,298.0,2e-05
FeBiO3 rt,298.0,3.23e-08
FeBiO3 rt,473.0,2.05e-06
FeBiO3 rt,498.0,5.999999999999999e-06
FeBiO3 rt,423.0,6.527e-10
FeBiO3 rt,298.0,0.0015
Ge2Bi2Te5,298.0,700.0
Ge3.66Bi2.34Te7,298.0,580.0
Ge3Bi2Te6,298.0,530.0
GeBi4Te7,298.0,230.0
Ge5Bi2Te8,298.0,740.0
GeBi6Te10,298.0,920.0
PbBi4Te7,298.0,1300.0
SnBi2Te4,298.0,840.0
SnS2 2H,298.0,2.2e-07
TiBi12O20,300.0,9e-09
CaCl2 rt,645.0,1e-06
CaCl2 rt,875.0,0.0001
MgCl2 rhom,670.0,1.0000000000000001e-07
MgCl2 rhom,955.0,0.0001
Cd0.5Hg0.5Te,166.7,118.0
Cd0.5Hg0.5Te,4.2,90.0
Cd0.5Hg0.5Te,16.7,0.01
Cd0.5Hg0.5Te,49.0,0.13
Cd0.5Hg0.5Te,100.0,0.0969999999999999
CdS,297.0,1e-06
CdS,297.0,1.47e-05
CdS,296.0,1.0000000000000001e-07
CdS,296.0,3.0
CdS,296.0,0.048
CdS,296.0,0.0070999999999999
CdS,296.0,2.3e-06
CdS,298.0,1.8e-05
CdS,100.0,1.9999999999999997e-09
CdS,310.0,0.03
CdS,835.0,3.05
CdS,350.0,0.085
CdS,298.0,8.190000000000001e-09
Zn0.5Cd0.5Te ht,298.0,0.00031
CePd3,2.0,4.7
MnP,90.0,50.0
Ce0.1Zr0.9O2 ht,1073.0,0.0003599999999999
Ce0.1Zr0.9O2 ht,1373.0,0.018
Ce0.1Zr0.9O2 ht,1073.0,0.0011
PbCl2 rt,680.0,0.0005
CoO ht rt,1473.0,30.9
LaF3 ht,300.0,4e-06
LaF3 ht,500.0,0.0007
LaF3 ht,303.0,4.24e-06
LaF3 ht,303.0,0.00505
Ti3SiC2,298.0,45000.0
Eu2O3 rt,673.0,5e-09
Eu2O3 rt,923.0,1.5e-07
EuO,300.0,2e-08
HgSe rt,298.0,2000.0
HgSe rt,77.0,5950.0
HgSe rt,4.2,14000.0
HgSe rt,300.0,2510.0
Dy2O3 rt,298.0,8.34e-07
Eu2Hf2O7,1053.0,0.0002
Eu2Hf2O7,1053.0,0.0002
Eu2Hf2O7,1053.0,0.0055
Eu2Hf2O7,1053.0,0.005
SrFe4Sb12,300.0,2500.0
LiF,790.0,3.7e-07
LiF,1085.0,0.001
Gd2O3 ht1,2018.0,0.0161
