formula,Tc
Mo3Si,1.45
Mo3Si,1.33
Mo3Si,1.24
Mo5Si3 rt,1.34
Ti0.33Mo0.67 ht,4.08
Ti0.33Mo0.67 ht,4.18
Ti0.33Mo0.67 ht,4.25
Ti0.33Mo0.67 ht,2.95
Ti0.33Mo0.67 ht,2.8
U0.688Mo0.312 ht,2.1
Zr0.96Mo0.04 ht,5.15
Zr0.96Mo0.04 ht,5.25
Zr0.33Mo0.67 ht,4.55
Zr0.96Mo0.04 ht,4.9
Zr0.96Mo0.04 ht,4.91
Zr0.96Mo0.04 ht,5.2
Zr0.96Mo0.04 ht,2.12
Zr0.96Mo0.04 ht,2.53
Zr0.96Mo0.04 ht,4.0
Zr0.96Mo0.04 ht,4.74
Zr0.96Mo0.04 ht,5.0
Zr0.96Mo0.04 ht,4.91
ZrMo2 rt,4.75
ZrMo2 rt,4.57
NbO,1.5
NbO,1.25
Nb0.25Re0.75,10.0
Nb0.25Re0.75,9.7
Nb0.25Re0.75,8.8
Nb5Re24,8.7
Nb0.45Re0.55 ht,3.8
Nb0.6Ru0.4,0.24
Nb0.6Ru0.4,0.25
Nb0.6Ru0.4,0.35
Nb0.25Ru0.75 rt,15.5
Nb3Sn rt,17.8
Nb3Sn rt,18.0
Nb3Sn rt,14.1
Nb3Sn rt,10.5
Nb3Sn rt,7.0
Nb3Sn rt,18.0
Nb3Sn rt,3.0
Nb3Sn rt,9.1
Nb3Sn rt,16.0
Nb3Sn rt,18.0
