formula,Bulk Modulus (GPa)
MnTe ht3,38.1
MnTe rt hex,15.1
Ni2Si rt,167.0
Ni2Si rt,175.07
NbN rt,297.0
NbN0.75,329.0
NbN ht2,357.0
NbN ht2,148.0
TaN ht,367.43
TaN ht,436.0
TaN rt,288.0
TiN ht,289.0
TiN ht,265.74
TiN ht,310.0
TiN ht,270.0
TiN ht,1.95e-22
TiN ht,276.4
TiN ht,298.0
TiN ht,300.0
TiN ht,273.0
Y2O3 ht3,137.1
Y2O3 rt,170.0
Tl ht,33.9
Yb ht/hp1,19.0
Yb rt,30.5
Yb rt,30.0
Yb rt,20.0
Yb rt,17.0
Yb rt,17.3
Ru2Si3 rt,230.0
Sm rt,37.8
Sm rt,31.0
Sm rt,30.2
ZnTe rt,52.0
ZnTe rt,51.0
ZnTe rt,51.4
ZnTe rt,49.4
ZnTe rt,51.0
ZnTe rt,51.0
ZnTe rt,51.9
ZnTe rt,43.6
ZnTe rt,52.0
ZnTe rt,43.6
ZnTe rt,76.4
ZnTe rt,0.49
ZnTe rt,38.4
ZnTe rt,48.0
ZnTe rt,49.2
ZnTe rt,50.9
ZnTe rt,52.9
ZnTe rt,50.9
ZnTe rt,51.2
ZnTe rt,51.0
ZnTe rt,43.3
ZnTe rt,43.6
ZnTe rt,54.0
Mg0.975Ag0.025,30.8
MgAg3 rt,112.0
Co2Al5,153.0
Co2Al9,108.0
CoAl rt,335.33
CoAl rt,211.0
LiAl rt,41.5
LiAl rt,78.96
Pb,46.2
Pb,44.0
Pb,50.3
VAl10,96.0
VAl3,139.0
As,77.0
As,82.0
As,53.8
As,57.2
As,58.0
As,43.0
As,38.4
GaAs rt,77.0
GaAs rt,76.0
GaAs rt,76.3
GaAs rt,74.5
GaAs rt,79.8
GaAs rt,74.8
GaAs rt,74.7
GaAs rt,77.0
GaAs rt,74.8
GaAs rt,74.7
GaAs rt,72.4
GaAs rt,75.1
GaAs rt,60.75
GaAs rt,68.0
GaAs rt,72.7
GaAs rt,58.3
GaAs rt,75.5
GaAs rt,79.5
GaAs rt,76.9
GaAs rt,74.2
GaAs rt,69.3
GaAs rt,74.7
GaAs rt,72.5
GaAs rt,76.9
GaAs rt,77.1
GaAs rt,76.3
GaAs rt,74.0
GaAs rt,81.0
GaAs rt,74.0
GaAs rt,76.1
GaAs rt,74.8
GaAs rt,78.6
GaAs rt,75.6
GaAs rt,74.14
GaAs rt,74.0
GaAs rt,79.0
Ba[O2],105.0
Cd,53.0
Cd,46.0
Cd,40.0
Cd,80.0
Cd,29.9
Cd,62.9
Cd,50.2
Cd,58.1
CeFe2,90.0
CeSb rt,72.0
CeSb rt,71.5
CeSb rt,37.0
CoSn rt,127.0
Cr0.28Ni0.72 ht,185.1
Cr0.28Ni0.72 ht,187.1
Cr0.28Ni0.72 ht,187.4
Cr0.67Te ht2,43.4
ZrC cub,229.0
ZrC cub,195.0
ZrC cub,240.6
ZrC cub,215.5
ZrC cub,219.8
ZrC cub,236.0
HfO2 ht2,219.0
HfO2 ht2,201.0
HfO2 ht2,265.0
HfO2 ht3,288.0
HfO2 ht3,260.0
HfO2 ht3,341.8
HfO2 ht3,319.5
HfO2 rt,145.0
HfO2 rt,215.0
HfO2 rt,152.0
HfO2 rt,168.0
HfO2 rt,185.0
HfO2 rt,254.0
TiD1.98 lt,127.0
TiH2 lt,110.0
La2O3 rt,118.0
Nb0.61Mo0.39,181.0
Nb0.61Mo0.39,181.0
NbNi3 rt,150.8
NiO rt,136.7
NiO rt,236.0
NiO rt,197.0
NiO rt,200.0
NiO rt,206.0
NiS ht,156.0
TbNi2 rt,100.0
W0.08Ni0.92,216.0
Si3N4 hex,265.0
Si3N4 hex,297.0
Os rt,430.7
Os rt,457.0
Os rt,461.0
Os rt,436.0
Os rt,443.0
Os rt,390.0
Os rt,262.0
Os rt,413.0
Os rt,390.0
Os rt,403.0
Os rt,389.0
Os rt,403.0
Os rt,405.0
Os rt,476.1
Os rt,366.0
Os rt,382.8
Os rt,394.9
Os2Si3 rt,253.0
OsSi2 rt,212.0
ThO2 rt,255.0
ThO2 rt,175.0
ThO2 rt,198.0
ThO2 rt,198.0
ZrO2 ht1,225.0
ZrO2 ht1,199.0
ZrO2 ht2,278.0
ZrO2 ht2,251.0
ZrO2 ht2,201.0
