formula,Bulk Modulus (GPa)
FeRu0.5Rh0.5,222.0
Tc0.5FeRu0.5,229.0
CdAlxTe,0.5
CdAlxTe,0.45
ZnTeBrx,0.49
ZnTeBrx,0.53
CdTeBrx,0.5
CdTeBrx,0.45
ZnTeIx,0.49
ZnTeIx,0.53
La2CeIn,96.0
MgZn3Se4,52.96
MgZnSe2,49.18
V3SiC2,219.0
Cr3SiC2,234.0
Zr3SiC2,173.0
Ta3SiC2,231.0
W3SiC2,273.0
ZnCdO2,137.79
Nb3SiC2,201.0
Mo3SiC2,236.0
Hf3SiC2,185.0
MgZnO2,148.13
MgNi3B,172.0
CrGe3Te4,53.0
VGe3Te4,52.0
CrGeTe2,54.0
VGeTe2,55.0
MgNi3N,205.0
BeZn3S4,74.589
Be2Zn2Te4,49.769
GaAs0.031N0.969,194.0
Be2Zn2S4,80.748
BeZn3Se4,60.81
BeZn3Te4,46.183
Al2CO hyp,165.0
Li2BeH4 hp,37.2
GaBiO3 cub,206.6
GaBiO3 cub,178.6
GaBiO3 cub,208.8
GaBiO3 cub,218.0
ScBiO3 cub,134.7
ScBiO3 cub,178.5
AlBiO3 cub,218.5
AlBiO3 cub,188.5
AlBiO3 cub,218.9
AlBiO3 cub,208.0
ZnTe0.5S0.5 cub,52.41
Sc0.25In0.75N,123.7
Sc0.75In0.25N,182.0
Fe3BN,239.82
Sn4Si23,97.0
Si23Br4,92.0
Kr4Si23,87.0
Si17I3,90.0
PtN2 mon mon,352.0
Xe4Si23,87.0
Ge4Si23,97.0
Xe3Si17,84.0
CeS hp calc,86.45
CeTe hp,59.48
ZnO hp2,205.4
CeSe hp,73.93
B4N,105.48
Os2Ge3 hyp,219.0
P hyp,90.0
ScP hyp,112.684
ScN hyp,159.759
Si3N4 hp-ht,262.9
TlSb,67.08
TlBi tet,61.43
Os2Si3 ht,250.0
PtC hyp,218.8
SmNiO3 hp hp,167.0
Ge3N4 hp-ht hp-ht,182.3
LiH rt,40.0
LiH rt,33.1
LiH rt,9.07
LiH rt,35.0
LiH rt,57.0
LiH rt,39.1
LiH rt,35.0
LiD,36.0
LiH rt,57.0
Pb[CrO4] hp1,57.0
U7N12,157.0
Sc hp1,18.65
OsB cub,378.0
GaSb hp3,44.7
HfO2 hp3,550.0
Ga[AsO4] hp,177.0
Sr2Fe2O5 hp,200.0
Te hp2,54.0
Bi hp3,53.0
NaxCa0.12Mg1.48TixCrxMn0.01Fe0.35AlxSi1.97O6,104.0
NaxCa0.12Mg1.48TixCrxMn0.01Fe0.35AlxSi1.97O6,98.0
NaxCa0.12Mg1.48TixCrxMn0.01Fe0.35AlxSi1.97O6,88.0
NaxCa0.12Mg1.48TixCrxMn0.01Fe0.35AlxSi1.97O6,98.0
NaxCa0.12Mg1.48TixCrxMn0.01Fe0.35AlxSi1.97O6,112.4
Sb hp2,71.0
Sb hp2,75.0
Fe1.11Te hp1,88.0
Al2CO orth,163.0
Al2CO orth,164.0
Sb hp1,71.0
[C70] hp2,49.3
[C70] hp2,11.0
K hp2,8.8
HfPbO3 ht1,169.0
VH0.9,174.0
TiH0.71 hp,146.0
Hf[MoO4]2 hp2,56.0
FeBiO3 hp II,122.0
FeBiO3 hp III,122.0
Cs[N3] hp2,27.0
C3N4 m1,427.0
C3N4 m1,450.0
C3N4 m1,442.0
Ti2MnO5 hp,197.0
Gd0.75Ga1.25O3 ht-hp,373.0
Gd0.75Ga1.25O3 ht-hp,979.0
Na4[C60] hp2,600.0
NbH0.75 lt,198.0
ScC2,200.0
Hf omega,143.4
Ba2Cu3YO6 ht,172.2
Ba2Cu3YO6 ht,144.9
Ca0.995Ti0.99Nb0.01O3,58.0
Ca4MgTiNb2O12,181.0
Ca4ZnTiNb2O12,164.0
V3FeN,240.0
VFe3N,490.0
GaAs0.9375N0.0625,74.9
GaAs0.5N0.5 cub,110.0
GaAs0.96875N0.03125,73.1
GaAs0.969N0.031,77.5
Ba8Ge43 hp hp,103.0
Ba8Ge43 hp hp,137.0
HexSiO2,56.0
V4N,280.0
Ho hp4,45.34
Y2Ti2O7 lt,185.0
BaHoCo4O7 ht,123.0
CrSb hp2,43.03
CrSb hp2,48.09
Ba8Si43 hp hp,151.0
Ba8Si43 hp hp,100.0
Sc0.5Ta0.5PbO3 ht2,100.0
Cs[SCN] hp1,7.3
Cs[SCN] hp1,13.8
Cs[SCN] hp1,21.4
Cs[SCN] hp1,13.2
Cs[SCN] hp2,7.3
Cs[SCN] hp2,13.8
Cs[SCN] hp2,21.4
Cs[SCN] hp2,13.2
C SHP,188.0
Mg0.02Cu0.02Zn0.06Al0.90,69.7
BN clu,367.0
Ca0.25La0.75MnO3 hp,260.0
Fe4RuP12,170.0
Na1.5Pr1.5F6,77.8
Ni[SiO4][H2O]6,31.8
Ni[SiO4][H2O]6,28.8
Ni[SiO4][H2O]6,30.3
Gd2Ti2O7 hp,208.0
Eu3[C70],25.4
Au0.50Ni0.50,213.0
BC,23.0
Cu2S hp1,86.0
IrH3,190.0
