formula,target
ScAl,41.13768912060786
Al2FeNi,94.70798504469278
DyCl3,6.074217248437336
Li(YSi)2,46.0
LiMg2Zn,27.12726984130732
VGaNi2,30.18097463379469
Li3CuO3,35.0
Sc2FeSi2,75.33614096989217
Pm2ZnRu,24.0
ScCd3,26.58912056417985
Cu3N,38.279781066266594
NaWO3,77.30606540618994
LiIn2Ru,39.51357809153427
Hf(Te2Cl3)2,1.7537190982397657
YIr2,87.60797026847794
Y(FeSi)2,79.6507371706166
Pr2S3,34.507693938319456
TiInNi2,42.102898933016355
NdGaO3,76.13881091854681
Li2CuP,45.52165953962483
SrSi2,39.1990938663781
SiRu,99.0
TaGaFe2,124.38642620644606
TbCo5,45.70803380531982
NaVN2,15.595917302796073
La2SiO5,43.42775624065622
Li3P7,11.835419430048496
CoSi2,64.0
Cs2TiCl6,4.725166784789755
TiRu,106.83758713002152
CaMgGe,38.07081167027317
HfPRu,94.93711603789193
Ga2FeO4,74.42163441842717
Zn3Ru,57.53739734326334
CaMgHg2,15.548315356350956
Ca(AlGa)2,27.579121872926212
Y3PbC,58.305672798596746
ZnGeN2,94.8174625226892
Ca2Mn2O5,49.82308459020229
Hf(CoSi)2,105.5646631957103
CaMg(CO3)2,43.69941742508777
MnBiO3,50.5301579407024
LiC12,97.96858860869206
MnSnPd2,28.0
SmLuIn2,17.0
TiNi3,97.2867389587968
Mg2In,12.0
Li6OsN4,64.00662068547872
Y2V2O7,37.727843813474266
H3PbCI3NF3,5.1047365073115865
CaMgPb,26.24822557849375
Ba(MgPb)2,18.711475898854264
Y2B3C2,65.17523356360716
Zr(WO4)2,29.22323723143679
CoSi,116.0699509144206
Mg2PbW,13.0
YbS,45.0
ZrBiO4,41.00603022681627
ThSe,25.0
Ti3Cu,15.0
NaBPt3,35.908765294122865
YNi2,46.70713204500112
U(SiRu)2,75.49472317148306
Zr6Al2Fe,47.86335949231547
Ti2BRh6,112.5767821433604
Ce(FeP3)4,132.02455731324494
LiScO2,78.72554591227947
Cr3Os,103.0
Ba2LaTaO6,47.86484456136243
Sc2TcAu,48.31943375303218
NbPSe,75.98608552686932
VF4,14.011174016370154
CsVI3,3.194376725828402
MgSc2Os,25.388926665731372
Ca(MnBi)2,13.708400299307526
HC,5.044952578628847
ZrMo3,36.48447407777575
KVO2,227.01944797620533
MgInNi2,40.5124708714064
Li3(CuO)4,22.47449407584891
NaNdAu2,17.0
LaSi2Rh3,88.0
BiClO,17.825922238828834
NbS3,11.396998180190987
NbAlO4,74.3165575344079
Mn5O8,52.6233883150242
NbCrN,156.95763358138345
Zr2Ni,21.72464825506716
Al3Os2,113.41601940251915
CaSiPt,20.206522806139525
La4Ni3O8,53.0
AlCuTe2,24.32109139603989
SmDyHg2,15.0
ZnCuPd2,51.54361648937636
