formula,band_gap (MP)
SmFeO3,0.7234999999999996
Li3Co2O5,0.7234999999999998
Na2Mg4Nb4Si3(S3O16)3,0.7235
In2AgSe3Cl,0.7235
KAl2P2H4O11,0.7236000000000001
ZnCdSe2,0.7236000000000001
MgAg20(BiO4)4,0.7237
NaSb3O8,0.7238999999999995
Sr4MgMn2Ga2O11,0.7239
Na2CoO3,0.7239999999999998
Li12Mn2O9,0.724
Ba2AsBr,0.7240000000000002
Sr2LiLa2RuO8,0.7240000000000006
LiMn(PO3)4,0.7241
Ca4Mn3SbO12,0.7241
CeSe2,0.7241
Li2VO2F,0.7241
TbTlTe2,0.7241999999999997
MgV3CrO10,0.7242000000000002
Li3Cu3(PO4)2,0.7242999999999995
Ni(ClO)2,0.7242999999999999
Li3Mn2CoO6,0.7244000000000002
Cr3O4,0.7244000000000002
TlAgS,0.7244999999999999
NaWO4,0.7245
Li4MnCo3O8,0.7245999999999997
Cs5SiP3,0.7246000000000001
CsZr6MnI14,0.7246000000000001
H4N2O3,0.7247
Na3CoBPO7,0.7247000000000001
K2NaCuF6,0.7248
Tl2CuH12(SeO7)2,0.7248000000000001
Ag(CO)2,0.7248000000000001
Fe3Co(BiO3)4,0.7248000000000001
Sr3Y2N4,0.7248999999999999
KPbO2,0.7249999999999996
K4ZnAs2,0.725
Zn2InCuS4,0.7250999999999999
Mn3(AsO4)4,0.7251
Fe5Te(PO4)6,0.7252000000000001
MnBiO3,0.7252999999999998
RbLaSe2O13,0.7253000000000001
Li7Mn4CoO12,0.7254
CoTeO4,0.7254
Na3V(MoO7)3,0.7254
CaAl2H4Pb2(O2F3)2,0.7255000000000003
LiCa11Sb9,0.7256999999999998
Li9Co7O16,0.7257
SmMg2Cr3S8,0.7258
Ca(CoS2)2,0.7260999999999997
Ag3SI,0.7261000000000002
HgC6(S2N)2,0.7262
Li4Mn3O7,0.7262
Dy3CuSe6,0.7262
Ca2CuH6(CO2)6,0.7262
Mg30AlZnO32,0.7263999999999999
Li2MnAlO4,0.7265000000000001
NaMnPCO7,0.7266
Na2AgAs,0.7266000000000001
Bi2Te7Cl8,0.7266000000000004
YTlTe2,0.7266000000000004
LuAgS2,0.7266999999999997
Li2Cr3NiO8,0.7266999999999997
MoS3,0.7267000000000001
LiCr2(SO4)3,0.7267000000000001
CaMnAl4SiP3(HO4)5,0.7267000000000001
MoW2(Se2S)2,0.7267999999999999
Li5MnO4,0.7268000000000001
Ba13Si6(Sn4As11)2,0.7270000000000003
Cs2BaH6(NO6)2,0.7271
