formula,Temperature,Seebeck (uV/K)
Zn0.99Al0.01O,400.0,-117.177
Zn0.99Al0.01O,700.0,-147.016
Zn0.99Al0.01O,1000.0,-175.78
Zn0.97Al0.03O,300.0,-144.866
Zn0.97Al0.03O,400.0,-149.839
Zn0.97Al0.03O,700.0,-177.527
Zn0.97Al0.03O,1000.0,-207.5
SrMn0.98Mo0.02O3,300.0,-80.5607
SrMn0.98Mo0.02O3,400.0,-73.8318
SrMn0.98Mo0.02O3,700.0,-58.3178
SrMn0.98Mo0.02O3,1000.0,-40.1869
SrMn0.96Mo0.04O3,300.0,-110.28
SrMn0.96Mo0.04O3,400.0,-105.047
SrMn0.96Mo0.04O3,700.0,-88.5981
SrMn0.96Mo0.04O3,1000.0,-74.3925
Sm1.7Ca0.3MnO3,300.0,69.4361
Sm0.5Ca0.5MnO3,300.0,-32.5663
CaMnO3,300.0,-357.564
ZrNi1.98Cu0.02Sn,300.0,-133.0
ZrNi1.98Cu0.02Sn,400.0,-136.0
ZrNi0.76Co0.004Cu0.2Sn,300.0,-95.0
ZrNi0.76Co0.004Cu0.2Sn,400.0,-130.0
ZrNiSn0.98Sb0.02,300.0,-113.0
ZrNiSn0.98Sb0.02,400.0,-137.0
Zr0.94Y0.06NiSn0.96Sb0.04,300.0,-92.0
Zr0.94Y0.06NiSn0.96Sb0.04,400.0,-109.0
NbCoSn,300.0,-119.188
NbCoSn,400.0,-137.005
NbCoSn,700.0,-168.074
NbCoSn,1000.0,-177.53
NbCo1.05Sn,300.0,-163.441
NbCo1.05Sn,400.0,-185.373
NbCo1.05Sn,700.0,-236.772
NbCo1.05Sn,1000.0,-250.86
NbCo1.10Sn,300.0,-130.766
NbCo1.10Sn,400.0,-151.928
NbCo1.10Sn,700.0,-189.172
NbCo1.10Sn,1000.0,-199.4
NbCo2Sn,300.0,-18.17146
Bi92Sb8,300.0,-81.3
Bi92Sb8,400.0,-69.3
Bi90Sb10,300.0,-80.8
Bi90Sb10,400.0,-68.5
Bi88Sb12,300.0,-85.3
Bi88Sb12,400.0,-72.9
Bi86Sb14,300.0,-81.3
Bi86Sb14,400.0,-69.1
Bi83Sb17,300.0,-75.2
Bi83Sb17,400.0,-61.6
CaMn7O12,700.0,8.02541
CaMn7O12,1000.0,-20.1644
CaMn6.5Cu0.5O12,300.0,32.5598
CaMn6.5Cu0.5O12,400.0,9.29006
CaMn6.5Cu0.5O12,700.0,-15.3459
CaMn6.5Cu0.5O12,1000.0,-24.3591
CaMn6CuO12,300.0,-13.1349
CaMn6CuO12,400.0,-19.922
CaMn6CuO12,700.0,-27.3305
CaMn6CuO12,1000.0,-30.2012
LiMn2O4,300.0,-55.6808
LiMn2O4,400.0,-45.9919
LiMn2O4,700.0,-30.1768
LiMn2O4,1000.0,-19.4145
Pr0.5Ca0.5MnO3,300.0,-22.2738
Pr0.5Ca0.5MnO3,400.0,-22.7685
Pr0.5Ca0.5MnO3,700.0,-23.4352
Pr0.5Ca0.5MnO3,1000.0,-23.7587
Mo3Te4,300.0,4.08735
Mo3Te4,400.0,7.50989
Mo3Te4,700.0,16.5599
Mo3Te4,1000.0,23.9118
Mo6Te7S,300.0,3.34933
Mo6Te7S,400.0,5.48011
Mo6Te7S,700.0,13.9768
Mo6Te7S,1000.0,21.1078
Mo6Te6S2,300.0,6.30124
Mo6Te6S2,400.0,8.06322
Mo6Te6S2,700.0,11.6892
Mo6Te6S2,1000.0,14.6136
CuRh0.9Mg0.1O2,300.0,138.814
CuRh0.9Mg0.1O2,400.0,153.007
CuRh0.9Mg0.1O2,700.0,203.027
CuRh0.9Mg0.1O2,1000.0,265.993
Sr2Ti0.8Nb0.2O4,300.0,-53.6
Sr2Ti0.8Nb0.2O4,400.0,-67.6
Sr2Ti0.8Nb0.2O4,700.0,-110.3
Sr2Ti0.8Nb0.2O4,1000.0,-167.0
Sr3Ti1.6Nb0.4O7,300.0,-42.4
Sr3Ti1.6Nb0.4O7,400.0,-57.16
Sr3Ti1.6Nb0.4O7,700.0,-98.3
Sr3Ti1.6Nb0.4O7,1000.0,-158.0
SrTi0.8Nb0.2O3,300.0,-52.14
SrTi0.8Nb0.2O3,400.0,-62.4
SrTi0.8Nb0.2O3,700.0,-110.0
SrTi0.8Nb0.2O3,1000.0,-164.9
Sr0.95La0.05TiO3,300.0,-167.0
Sr0.95La0.05TiO3,400.0,-188.0
Sr0.95La0.05TiO3,700.0,-251.0
Sr0.95La0.05TiO3,1000.0,-285.0
Sr0.9La0.1TiO3,300.0,-97.6
Sr0.9La0.1TiO3,400.0,-115.0
Sr0.9La0.1TiO3,700.0,-179.0
Sr0.9La0.1TiO3,1000.0,-221.0
Sr0.8La0.2TiO3,300.0,-53.7
Sr0.8La0.2TiO3,400.0,-64.7
Sr0.8La0.2TiO3,700.0,-113.0
Sr0.8La0.2TiO3,1000.0,-158.0
TiNiSn,300.0,-271.305
TiNiSn,400.0,-295.891
TiNiSn,700.0,-255.058
TiNiSn,1000.0,-159.717
Ti0.99Nb0.01NiSn,300.0,-177.319
Ti0.99Nb0.01NiSn,400.0,-192.458
Ti0.99Nb0.01NiSn,700.0,-211.295
Ti0.99Nb0.01NiSn,1000.0,-172.594
Ti0.98Nb0.02NiSn,300.0,-139.982
Ti0.98Nb0.02NiSn,400.0,-158.575
Ti0.98Nb0.02NiSn,700.0,-188.543
Ti0.98Nb0.02NiSn,1000.0,-174.312
Ti0.95Nb0.05NiSn,300.0,-96.2097
Ti0.95Nb0.05NiSn,400.0,-110.94
Ti0.95Nb0.05NiSn,700.0,-146.063
Ti0.95Nb0.05NiSn,1000.0,-142.549
ZrNiSn,300.0,-353.714
ZrNiSn,400.0,-342.674
ZrNiSn,700.0,-284.671
ZrNiSn,1000.0,-212.937
Zr0.99Nb0.01NiSn,300.0,-170.876
Zr0.99Nb0.01NiSn,400.0,-189.025
Zr0.99Nb0.01NiSn,700.0,-228.446
Zr0.99Nb0.01NiSn,1000.0,-210.789
Zr0.98Nb0.02NiSn,300.0,-131.398
Zr0.98Nb0.02NiSn,400.0,-148.254
Zr0.98Nb0.02NiSn,700.0,-193.681
Zr0.98Nb0.02NiSn,1000.0,-196.196
Zr0.95Nb0.05NiSn,300.0,-78.184
Zr0.95Nb0.05NiSn,400.0,-89.0283
Zr0.95Nb0.05NiSn,700.0,-129.304
Zr0.95Nb0.05NiSn,1000.0,-150.706
Ca3Co4O9,300.0,50.1234
Ca3Co4O9,400.0,58.0016
Ca3Co4O9,700.0,84.2826
Ca3Co4O9,1000.0,118.607
La0.05Ca2.85Co3.8O8.55,300.0,62.1344
La0.05Ca2.85Co3.8O8.55,400.0,70.013
La0.05Ca2.85Co3.8O8.55,700.0,88.58
La0.05Ca2.85Co3.8O8.55,1000.0,123.896
La0.3Ca2.7Co4O9,300.0,59.7107
La0.3Ca2.7Co4O9,400.0,68.4692
La0.3Ca2.7Co4O9,700.0,92.437
La0.3Ca2.7Co4O9,1000.0,126.87
La0.45Ca2.55Co4O9,300.0,65.3296
La0.45Ca2.55Co4O9,400.0,73.0975
La0.45Ca2.55Co4O9,700.0,95.0781
La0.45Ca2.55Co4O9,1000.0,131.717
Cr1.3Mo6S8,300.0,21.5075
Cr1.3Mo6S8,400.0,27.071
Cr1.3Mo6S8,700.0,51.22
Cr1.3Mo6S8,1000.0,69.9615
Mn1.3Mo6S8,300.0,27.2882
Mn1.3Mo6S8,400.0,30.9869
Mn1.3Mo6S8,700.0,47.6766
Mn1.3Mo6S8,1000.0,57.4673
Fe1.3Mo6S8,300.0,22.6264
Fe1.3Mo6S8,400.0,28.1894
Fe1.3Mo6S8,700.0,45.2526
Fe1.3Mo6S8,1000.0,53.9242
Ni2.0Mo6S8,300.0,8.26675
Ni2.0Mo6S8,400.0,9.16846
Ni2.0Mo6S8,700.0,20.8232
Ni2.0Mo6S8,1000.0,33.2249
Cu4.0Mo6S8,300.0,47.8006
Cu4.0Mo6S8,400.0,61.5689
Cu4.0Mo6S8,700.0,105.3
Cu4.0Mo6S8,1000.0,132.993
