formula,Temperature,Rho (Ohm.cm)
Zn0.9975Al0.0025O,700.0,0.041277
Zn0.99Al0.01O,700.0,0.003981072
Mg3.07Sb1.5Bi0.48Se.02,400.0,0.009322176
CuCr0.98Mg0.02O2,400.0,0.119099
Bi2YO4Cu2Se1.9I.10,400.0,0.004905149
Sr0.61Ba0.39Nb2O6,700.0,0.008
Cu2S,700.0,6.2560E-01
Zn4Sb3,400.0,0.00258969
Cu3Sb.98Sn.02Se4,400.0,0.002470911
Bi2YO4Cu2Se2,700.0,0.004469136
BiSbTe1.5Se1.5,700.0,7.6994E+01
Pb0.98Sr0.2TeNa0.1,400.0,0.000706714
Na0.02PbTe0.85Se0.15,300.0,0.000413223
Fe1.98Ti0.02O3,300.0,0.887847148
Ca2Co2O5,400.0,0.00146667
Ba0.8Sr0.2PbO3,300.0,0.000462332
Cu3Sb.9Sn.1Se4,300.0,0.001119488
Ca0.9Sb0.1MnO3,700.0,0.067066382
Ba8Ga16Sn30,300.0,0.0111
Mn1.3Mo6S8,400.0,0.000736538
NaCo2O4,700.0,3.40E-03
Ca0.98Bi0.02Mn0.98Nb0.02O3,300.0,0.02032591
Cu4.0Mo6S8,300.0,0.000831731
Zn0.97Al0.025Ti0.005O,1000.0,0.017394965
Ca5Al2Sb6,400.0,0.409
Tl0.02Pb0.98Te,400.0,0.00290909
Bi.88Ca.06Pb.06CuSeO,300.0,0.006760778
Cu2ZnGe0.975In0.025Se4,400.0,0.00598
CaMn0.9Ru0.1O3,400.0,0.00395648
Zr0.15Hf0.15Ti0.7NiSn,400.0,0.00313369
Fe0.978Co0.00196Si1.96Y0.04O0.06,1000.0,0.0122
Zn0.97Al0.03O,300.0,0.0213949
In0.25Co4Sb12,700.0,0.00165666
La2.99Te4,700.0,0.000802
Ca3Co4O9,700.0,0.009901
Cu2ZnGeSe4,400.0,0.0187
Sn.985Na.015Se (hole doped)   B axis,700.0,5.6987E-03
MgAg0.97Sb.98Pb.01,400.0,0.003479839
LaNiO3,1000.0,0.00621929
Bi2YO4Cu2Se1.95I.05,300.0,0.001431396
ZrNi0.76Co0.004Cu0.2Sn,300.0,8.76E-03
Ca3Co4O9,1000.0,0.026053065
Sr0.61Ba0.39Nb2O6,300.0,0.00282598
CuFe0.9Cr0.1O2,300.0,0.107079
Zr0.15Hf0.15Ti0.7NiSn,300.0,0.0048146
La1.85Sr0.15Cu0.94Ti0.06O4,300.0,12.61
Zr0.25Hf0.25Ti0.5NiSn,300.0,0.00494914
Nd2CuO4,700.0,0.0243757
Cu0.98GaTe2,300.0,0.00141965
BiCuSeO,300.0,0.002857143
Cu3SbSe4,300.0,0.03946204
Bi2Te3,300.0,0.00055
La0.98Sr0.02CoO3,700.0,0.001096478
Mg1.95Ca0.05Si,700.0,0.002554
Ca3Co4O9,700.0,0.028737366
Bi.38Sb1.62Te3,300.0,8.4559E-04
Zn0.95Al0.05O,700.0,0.046832485
Cu2ZnSn.85In0.15Se4,700.0,1655737.705
Sn.985Na.015Se (hole doped)   B axis,400.0,1.1379E-03
Cu3Sb.98Bi.02Se4,700.0,0.018089466
CuInTe2(annealed 1hr),700.0,0.008394148
CaMn0.82Ru0.18O3,400.0,0.00310502
Sr0.95La0.05TiO3,700.0,0.009176669
Ti1.8Hf0.2FeNiSb1.7Sn0.3,700.0,0.003763643
BiCuSeO,700.0,0.002717949
La1.9Sr0.1CuO4,300.0,0.00280286
Bi0.4Sb1.6Te3,700.0,0.00044
Sn1.2S1.2Ti2S4,300.0,0.000478
Si0.8Ge0.2,700.0,0.002454
La1.95Sr0.05CuO4,400.0,0.0107975
CaMn7O12,1000.0,0.0405007
CaYb0.05Mn0.95O3,400.0,0.0106095
Cu3Sb.95Sn.05Se4,400.0,0.001984354
WO2.722,700.0,0.00020161
CaMn0.94Ru0.06O3,700.0,0.00892335
Cu3Sb0.98Bi0.02S4,400.0,0.360694618
BI.4Sb1.585Ge.015Te3,300.0,8.2215E-04
BiSbTe+(T2O3)2wt%,700.0,3.3333E-03
La3Te3.8Sb0.2,300.0,0.00053
Bi.048SB.152Te.3+.005wt%PbTe,400.0,9.8193E-04
Zn0.995Al0.005O,700.0,0.0154224
Ca0.7Tb0.3MnO3,300.0,0.00607036
Bi2YO4Cu2Se2,1000.0,0.006188034
Bi1.90Ta0.10O2,700.0,0.009155556
Cu2ZnSn.95In0.05Se4,700.0,1106557.377
CaMnO3,400.0,0.24169
BI.4Sb1.6Te3,400.0,1.7358E-03
Ba8Ga16Ge30,1000.0,0.00223
Zr0.5Hf0.5NiSn,700.0,0.00236129
