,formula,target
543,Sr0.5La0.5CoO3,11.414209492031071
10,FeAl,14.914122846632385
830,SrCuSeF,-1.0216512475319814
639,YMn0.9Al0.1O3,2.079480915904661
833,Ta4BTe8,12.206072645530174
1098,Ba0.5Nd0.5FeO3,-18.708362816404147
1456,Ba2CaMgCuTl0.5Zn2.5O9.9,8.476371196895983
284,CuAlO2,2.397897863704105
1563,Sm0.02Sb1.96Se2.96,-8.600574800355288
616,Ag0.33Pb0.33Bi0.34Te,11.918390573078392
370,Co0.7Ni0.3Sb3,11.56171562913966
777,Ce0.25Yb0.25Fe1.5Co2.5Sb12,11.227906509937931
759,Sr0.27La0.73Mn0.9Ga0.1O3,6.684611727667927
1370,In6Se7,0.0
125,EuO,-13.122363377404328
407,TlInSe2,-0.6931471805599453
852,Sr0.95Sm0.05TiO3,11.559331837784384
1352,MgPtCN6H2O0.5,-7.264430222920869
1338,Hf0.5Zr0.5CoSn0.01Sb0.99,6.214608098422191
909,BaAg2Te2,1.9459101490553132
1615,Na0.04Pb0.98Sn0.98F3.96,1.0367368849500223
748,CuLaSeO,-0.16251892949777494
541,KAg4I5,3.1570004211501135
139,Re2P,12.206072645530174
260,VIn2O5,3.58351893845611
473,Cu0.4NdTe2,4.867534450455582
165,CuLa2O4,10.768484990022733
226,V2O5,-2.6736487743848776
1335,H2NaAsO40.52PO40.48H2O,-4.537511537514277
692,NaTaWO6,-11.000101838541564
191,Tl2ZrTe3,7.9724660159745655
306,K2SbF5,-20.540944280152456
1059,CsBi3.67Se6,4.605170185988092
1298,AgCd2Ga0.9In0.1S4,-16.11809565095832
1487,Ag3Ga5Te9,-3.146555163288575
482,BiSbTe1.5Se1.5,10.308952660644293
1368,Zr6O0.96,-1.8971199848858813
970,Cr0.1Fe0.9BiO3,-19.103877593659142
1604,K1.6PtC2O42H2O1.2,9.210340371976184
1274,Ba0.8La0.2Ti0.9Co0.1O3,-7.385791079925137
320,Dy2Mo3O12,-4.710530701645918
1351,Ag0.05Pb0.45Sn0.45Sb0.05Te,10.181119289134408
1461,Sr0.5Ca0.5Ti4Bi4O15,-9.210300372776162
754,Li7La3Zr2O12,-8.691546578561015
17,Li3B14,-9.315700887634009
1668,K0.46Nb2Pb0.77O6,-13.866803852351824
430,Cu0.3Cr2Fe0.7S4,8.85366542803745
1660,SbBr3CSN2H42,-12.716898269296165
1434,Na0.5La0.5CrO4,-14.73180128983843
1499,Cu0.5La2Ni0.5O4,8.006367567650246
1589,TaS2,12.468436909997665
1184,Cu0.2LaCr0.8O3,0.5877866649021191
207,BiTeI,10.417807065556374
237,GdFeO3,-12.206072645530174
1185,Ag0.5In0.25Sb0.25Te,8.987196820661973
